"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","firstInterv_date","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","horasLat","minLat","segLat","horasLon","minLon","segLon","diff_in_days","temp","tempMax","windVelocity","windGust"
6425,"Trás-os-Montes","Viseu","Sernancelhe","Sarzeda","40.1513888888889","-7.15638888888889","firepit",2015-07-03,12:54:00,2015-07-03,"2015-07-03",0,1,0,1,0.053,0,40,54,5,7,27,23,0,22,30.4,7.4,32.4
6426,"Trás-os-Montes","Bragança","Freixo de Espada à Cinta","Freixo de Espada à Cinta","41.1566666666667","-6.1525","firepit",2015-07-03,13:29:00,2015-07-03,"2015-07-03",0,1,0,1,0.01,0,41,5,24,6,50,9,0,16.8,22.2,5.9,28.8
6427,"Entre Douro e Minho","Porto","Lousada","Santo Estevão (Barrosas)","41.1533333333333","-8.15305555555556","firepit",2015-07-03,13:58:00,2015-07-03,"2015-07-03",0,1,0,1,0.25,0,41,20,12,8,16,11,0,NA,NA,NA,NA
6428,"Entre Douro e Minho","Braga","Cabeceiras de Basto","Cabeceiras de Basto","41.1588888888889","-8.15361111111111","fire",2015-07-03,14:17:00,2015-07-03,"2015-07-03",1,0,0,1,1,0,41,33,32,8,1,13,0,NA,NA,NA,NA
6429,"Beira Litoral","Viseu","Sátão","Romãs","40.1625","-7.16027777777778","fire",2015-07-03,14:39:00,2015-07-03,"2015-07-03",0.876084711679559,0.123915288320441,0,1,5.5199,1,40,44,45,7,37,37,0,22,30.4,7.4,32.4
6430,"Entre Douro e Minho","Braga","Vieira do Minho","Tabuaças","41.1644444444444","-8.16388888888889","firepit",2015-07-03,15:02:00,2015-07-03,"2015-07-03",0.714285714285714,0.285714285714286,0,1,0.07,0,41,37,52,8,10,50,0,NA,NA,NA,NA
6431,"Entre Douro e Minho","Braga","Vieira do Minho","Parada do Bouro","41.1580555555556","-8.155","firepit",2015-07-03,15:20:00,2015-07-03,"2015-07-03",0.5,0.5,0,1,0.02,0,41,38,29,8,14,18,0,NA,NA,NA,NA
6432,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Gondufe","41.1638888888889","-8.15111111111111","firepit",2015-07-03,15:23:00,2015-07-03,"2015-07-03",0,1,0,1,0.04,0,41,45,50,8,31,4,0,18.4,27.6,4.8,21.6
6433,"Beira Litoral","Coimbra","Vila Nova de Poiares","São Miguel de Poiares","40.1647222222222","-8.15083333333333","agriculture",2015-07-03,16:31:00,2015-07-03,"2015-07-03",0,0,1,0,0.0015,0,40,12,53,8,13,3,0,18.5,25.8,7.5,39.6
6434,"Entre Douro e Minho","Porto","Lousada","Santo Estevão (Barrosas)","41.1552777777778","-8.15416666666667","fire",2015-07-03,16:36:00,2015-07-03,"2015-07-03",0.8,0.2,0,1,8.1,0,41,20,19,8,16,15,0,NA,NA,NA,NA
6435,"Algarve","Faro","Olhão","Moncarapacho","0.151388888888889","-0.163055555555556","firepit",2015-07-03,17:12:00,2015-07-03,"2015-07-03",0,1,0,1,0.007,0,0,37,5,0,7,47,0,21,24.1,12.2,39.6
6436,"Algarve","Faro","Portimão","Alvor","0.1525","-0.159444444444444","agriculture",2015-07-03,17:34:00,2015-07-03,"2015-07-03",0,0,1,0,0.0022,0,0,37,9,0,8,34,0,21,24.1,12.2,39.6
6437,"Alentejo","Portalegre","Elvas","São Vicente e Ventosa","38.1505555555556","-7.16194444444444","agriculture",2015-07-03,17:58:00,2015-07-03,"2015-07-03",0,0,1,0,0.1358,0,38,57,2,7,12,43,0,NA,NA,13.2,NA
6438,"Beira Interior","Guarda","Mêda","Coriscada","0.164444444444444","-0.153055555555556","agriculture",2015-07-03,18:11:00,2015-07-03,"2015-07-03",0,0.2,0.8,0.2,1,0,0,40,52,0,7,11,0,21,24.1,12.2,39.6
6439,"Entre Douro e Minho","Porto","Vila do Conde","Vila Chã","41.1541666666667","-8.15055555555556","firepit",2015-07-03,18:30:00,2015-07-03,"2015-07-03",0.888888888888889,0.111111111111111,0,1,0.9,0,41,18,15,8,43,2,0,18.4,27.6,4.8,21.6
6440,"Entre Douro e Minho","Braga","Cabeceiras de Basto","Cabeceiras de Basto","41.1588888888889","-8.15361111111111","firepit",2015-07-03,19:45:00,2015-07-03,"2015-07-03",1,0,0,1,0.1,0,41,33,32,8,1,13,0,NA,NA,NA,NA
6441,"Ribatejo e Oeste","Setúbal","Montijo","Afonsoeiro","38.1655555555556","-8.16194444444444","agriculture",2015-07-03,21:58:00,2015-07-03,"2015-07-03",0,0,1,0,0.03,1,38,41,56,8,56,43,0,21.2,29.3,14.4,43.2
6442,"Entre Douro e Minho","Porto","Baião","Valadares","41.1616666666667","-7.16333333333333","firepit",2015-07-03,22:15:00,2015-07-03,"2015-07-03",0,1,0,1,0.05,1,41,8,42,7,57,48,0,18.4,27.6,4.8,21.6
6443,"Entre Douro e Minho","Braga","Vieira do Minho","Mosteiro","41.155","-8.15","firepit",2015-07-03,22:27:00,2015-07-04,"2015-07-03",1,0,0,1,0.2,0,41,36,18,8,8,0,1,18.4,27.6,4.8,21.6
6444,"Ribatejo e Oeste","Santarém","Alcanena","Malhou","0.157222222222222","-0.161388888888889","firepit",2015-07-03,23:06:00,2015-07-03,"2015-07-03",0,1,0,1,0.0096,1,0,39,26,0,8,41,0,21,24.1,12.2,39.6
6445,"Alentejo","Beja","Beja","Santa Maria da Feira","0.150277777777778","-0.164166666666667","agriculture",2015-07-03,23:13:00,2015-07-03,"2015-07-03",0,0,1,0,0.0031,1,0,38,1,0,7,51,0,21,24.1,12.2,39.6
6446,"Beira Litoral","Aveiro","Aveiro","Oliveirinha","40.1525","-8.16277777777778","firepit",2015-07-03,23:24:00,2015-07-04,"2015-07-03",1,0,0,1,0.0448,1,40,35,9,8,35,46,1,18.5,25.8,7.5,39.6
6447,"Alentejo","Beja","Beja","Santa Maria da Feira","0.150277777777778","-0.164166666666667","agriculture",2015-07-04,01:23:00,2015-07-04,"2015-07-04",0,0,1,0,0.0124,1,0,38,1,0,7,51,0,21.4,24.5,5.4,NA
6448,"Alentejo","Portalegre","Elvas","Caia e São Pedro","38.1625","-7.1625","agriculture",2015-07-04,01:27:00,2015-07-04,"2015-07-04",0,0,1,0,0.0111,0,38,52,45,7,8,45,0,NA,NA,13.5,NA
6449,"Beira Litoral","Aveiro","Aveiro","Oliveirinha","40.1558333333333","-8.1575","firepit",2015-07-04,02:40:00,2015-07-04,"2015-07-04",1,0,0,1,0.4688,0,40,36,21,8,35,27,0,19.4,27.2,7.4,36
6450,"Entre Douro e Minho","Braga","Celorico de Basto","Ribas","41.1613888888889","-8.15555555555556","firepit",2015-07-04,03:09:00,2015-07-04,"2015-07-04",0,1,0,1,0.2,1,41,26,41,8,2,20,0,NA,NA,NA,NA
6451,"Beira Litoral","Aveiro","Ílhavo","São Salvador","40.1516666666667","-8.16583333333333","agric_burn",2015-07-04,03:24:00,2015-07-04,"2015-07-04",0,0,1,0,0.0026,0,40,36,6,8,39,57,0,19.4,27.2,7.4,36
6452,"Entre Douro e Minho","Viseu","Cinfães","Santiago de Piães","41.165","-8.15555555555556","firepit",2015-07-04,04:28:00,2015-07-04,"2015-07-04",0,1,0,1,0.5,0,41,1,54,8,10,20,0,NA,NA,NA,NA
6453,"Entre Douro e Minho","Viseu","Cinfães","Travanca","41.1544444444444","-8.15916666666667","firepit",2015-07-04,05:18:00,2015-07-04,"2015-07-04",1,0,0,1,0.1,1,41,2,16,8,13,33,0,NA,NA,NA,NA
6454,"Trás-os-Montes","Guarda","Vila Nova De Foz Côa","Castelo Melhor","0.150555555555556","-0.151388888888889","fire",2015-07-04,08:22:00,2015-07-04,"2015-07-04",0,1,0,1,2.15,0,0,41,2,0,7,5,0,21.4,24.5,5.4,NA
6455,"Ribatejo e Oeste","Leiria","Alcobaça","Cela","39.1658333333333","-9.15833333333333","agriculture",2015-07-04,09:06:00,2015-07-04,"2015-07-04",0,0,1,0,0.145,0,39,30,57,9,1,30,0,19.2,21.4,5.4,NA
6456,"Entre Douro e Minho","Braga","Celorico de Basto","Gémeos","41.1638888888889","-8.155","firepit",2015-07-04,09:38:00,2015-07-04,"2015-07-04",0,1,0,1,0.015,0,41,23,50,8,0,18,0,NA,NA,NA,NA
6457,"Ribatejo e Oeste","Santarém","Alpiarça","Alpiarça","39.1519444444444","-8.15083333333333","agriculture",2015-07-04,10:38:00,2015-07-04,"2015-07-04",0,0,1,0,0.9185,0,39,14,7,8,33,3,0,22.9,32.8,13.1,36
6458,"Entre Douro e Minho","Porto","Maia","Vermoim","41.1630555555556","-8.15305555555556","firepit",2015-07-04,10:55:00,2015-07-04,"2015-07-04",0,1,0,1,0.01,0,41,13,47,8,36,11,0,NA,NA,NA,NA
6459,"Alentejo","Portalegre","Ponte de Sor","Ponte de Sor","39.1611111111111","-8.15361111111111","agriculture",2015-07-04,11:16:00,2015-07-04,"2015-07-04",0,0,1,0,0.0027,0,39,15,40,8,0,13,0,22.9,32.8,13.1,36
6460,"Ribatejo e Oeste","Setúbal","Palmela","Quinta do Anjo","38.1658333333333","-8.16583333333333","agriculture",2015-07-04,12:11:00,2015-07-04,"2015-07-04",0,0,1,0,0.1697,0,38,33,57,8,55,57,0,22.1,31.2,14.9,39.6
6461,"Ribatejo e Oeste","Santarém","Santarém","São Vicente do Paul","0.155833333333333","-0.161111111111111","agriculture",2015-07-04,12:44:00,2015-07-04,"2015-07-04",0,0,1,0,3e-04,0,0,39,21,0,8,40,0,21.4,24.5,5.4,NA
6462,"Alentejo","Portalegre","Fronteira","Fronteira","39.1541666666667","-7.16638888888889","agriculture",2015-07-04,12:51:00,2015-07-04,"2015-07-04",0,0,1,0,0.052,0,39,4,15,7,39,59,0,24.5,31.2,12.6,NA
6463,"Entre Douro e Minho","Porto","Felgueiras","Friande","41.1525","-8.15527777777778","agriculture",2015-07-04,12:54:00,2015-07-04,"2015-07-04",0,0,1,0,0.11,0,41,22,9,8,10,19,0,NA,NA,NA,NA
6464,"Entre Douro e Minho","Porto","Vila do Conde","Bagunte","41.155","-8.16","firepit",2015-07-04,13:08:00,2015-07-04,"2015-07-04",1,0,0,1,0.005,0,41,22,18,8,39,36,0,NA,NA,NA,NA
6465,"Entre Douro e Minho","Braga","Celorico de Basto","Gémeos","41.1638888888889","-8.155","firepit",2015-07-04,14:37:00,2015-07-04,"2015-07-04",1,0,0,1,0.5,1,41,23,50,8,0,18,0,NA,NA,NA,NA
6466,"Entre Douro e Minho","Viseu","Cinfães","Santiago de Piães","41.1544444444444","-8.16027777777778","fire",2015-07-04,14:47:00,2015-07-04,"2015-07-04",0,1,0,1,1.5,0,41,3,16,8,9,37,0,NA,NA,NA,NA
6467,"Entre Douro e Minho","Porto","Vila do Conde","Vila Chã","41.1630555555556","-8.15638888888889","firepit",2015-07-04,14:56:00,2015-07-04,"2015-07-04",1,0,0,1,0.5,0,41,17,47,8,43,23,0,NA,NA,NA,NA
6468,"Beira Litoral","Coimbra","Figueira da Foz","São Julião (Figueira da Foz)","40.1530555555556","-8.16194444444444","firepit",2015-07-04,15:22:00,2015-07-04,"2015-07-04",0,1,0,1,0.001,0,40,9,11,8,51,43,0,19.4,27.2,7.4,36
6469,"Beira Interior","Castelo Branco","Castelo Branco","Santo André das Tojeiras","39.1536111111111","-7.16138888888889","fire",2015-07-04,16:00:00,2015-07-04,"2015-07-04",0.778156996587031,0.15358361774744,0.068259385665529,0.931740614334471,29.3,1,39,48,13,7,44,41,0,24.5,31.2,12.6,NA
6470,"Entre Douro e Minho","Porto","Maia","Avioso (São Pedro)","41.1508333333333","-8.15","firepit",2015-07-04,17:00:00,2015-07-04,"2015-07-04",1,0,0,1,0.05,0,41,16,3,8,37,0,0,19.6,28.7,6.6,36
6471,"Entre Douro e Minho","Porto","Amarante","Travanca","41.1616666666667","-8.15805555555556","firepit",2015-07-04,19:14:00,2015-07-04,"2015-07-04",0,1,0,1,0.15,1,41,16,42,8,11,29,0,NA,NA,NA,NA
6472,"Entre Douro e Minho","Porto","Baião","Valadares","41.1608333333333","-7.16083333333333","firepit",2015-07-04,19:50:00,2015-07-04,"2015-07-04",0,1,0,1,0.02,1,41,8,39,7,57,39,0,19.6,28.7,6.6,36
6473,"Ribatejo e Oeste","Santarém","Alpiarça","Alpiarça","0.154166666666667","-0.159444444444444","agriculture",2015-07-04,20:55:00,2015-07-04,"2015-07-04",0,0,1,0,0.0235,0,0,39,15,0,8,34,0,21.4,24.5,5.4,NA
6474,"Entre Douro e Minho","Porto","Baião","Teixeiró","41.1608333333333","-7.15","firepit",2015-07-04,21:00:00,2015-07-05,"2015-07-04",1,0,0,1,0.211,1,41,10,39,7,54,0,1,19.6,28.7,6.6,36
6475,"Ribatejo e Oeste","Santarém","Rio Maior","Alcobertas","39.1652777777778","-8.15972222222222","fire",2015-07-04,21:03:00,2015-07-05,"2015-07-04",0,1,0,1,4.3171,0,39,24,55,8,54,35,1,22.9,32.8,13.1,36
6476,"Entre Douro e Minho","Porto","Maia","Avioso (Santa Maria)","41.1647222222222","-8.16138888888889","fire",2015-07-04,21:10:00,2015-07-05,"2015-07-04",0.861538461538462,0.138461538461538,0,1,1.3,0,41,15,53,8,36,41,1,NA,NA,NA,NA
6477,"Entre Douro e Minho","Viseu","Resende","Resende","41.1522222222222","-7.15333333333333","firepit",2015-07-05,00:12:00,2015-07-05,"2015-07-05",0,1,0,1,0.02,1,41,5,8,7,56,12,0,21.1,30.6,6.3,28.8
6478,"Entre Douro e Minho","Porto","Vila do Conde","Tougues","41.1602777777778","-8.15722222222222","firepit",2015-07-05,00:30:00,2015-07-05,"2015-07-05",1,0,0,1,0.05,0,41,21,37,8,41,26,0,NA,NA,NA,NA
6479,"Trás-os-Montes","Vila Real","Valpaços","Fiães","41.1605555555556","-7.16027777777778","firepit",2015-07-05,00:56:00,2015-07-05,"2015-07-05",0,1,0,1,0.7,0,41,44,38,7,14,37,0,21.1,30.6,6.3,28.8
6480,"Trás-os-Montes","Bragança","Freixo de Espada à Cinta","Ligares","41.1536111111111","-6.16555555555556","fire",2015-07-05,01:02:00,2015-07-05,"2015-07-05",0,1,0,1,15.5,0,41,5,13,6,57,56,0,18.5,23.8,7.2,32.4
6481,"Trás-os-Montes","Viseu","Lamego","Almacave","41.1652777777778","-7.15805555555556","firepit",2015-07-05,01:28:00,2015-07-05,"2015-07-05",0,1,0,1,1e-04,0,41,5,55,7,48,29,0,21.1,30.6,6.3,28.8
6482,"Entre Douro e Minho","Braga","Celorico de Basto","Ribas","41.1513888888889","-8.16277777777778","firepit",2015-07-05,01:42:00,2015-07-05,"2015-07-05",0.7,0.3,0,1,0.05,0,41,27,5,8,1,46,0,NA,NA,NA,NA
6483,"Trás-os-Montes","Guarda","Vila Nova De Foz Côa","Almendra","0.15","-0.150833333333333","agriculture",2015-07-05,02:08:00,2015-07-05,"2015-07-05",0,0,1,0,0.05,0,0,41,0,0,7,3,0,22.7,24.5,11.7,39.6
6484,"Alentejo","Évora","Viana do Alentejo","Alcáçovas","0.155555555555556","-0.153333333333333","agriculture",2015-07-05,03:08:00,2015-07-05,"2015-07-05",0,0,1,0,17,0,0,38,20,0,8,12,0,22.7,24.5,11.7,39.6
6485,"Entre Douro e Minho","Porto","Penafiel","Oldrões","41.1516666666667","-8.15583333333333","firepit",2015-07-05,03:29:00,2015-07-05,"2015-07-05",1,0,0,1,0.03,0,41,9,6,8,18,21,0,NA,NA,NA,NA
6486,"Algarve","Faro","Portimão","Alvor","0.151944444444444","-0.159444444444444","agriculture",2015-07-05,07:00:00,2015-07-05,"2015-07-05",0,0,1,0,0.0024,0,0,37,7,0,8,34,0,22.7,24.5,11.7,39.6
6487,"Trás-os-Montes","Vila Real","Valpaços","Água Revês e Crasto","41.1502777777778","-7.15305555555556","firepit",2015-07-05,07:24:00,2015-07-05,"2015-07-05",0,1,0,1,0.02,0,41,34,1,7,20,11,0,21.1,30.6,6.3,28.8
6488,"Ribatejo e Oeste","Santarém","Benavente","Samora Correia","38.1658333333333","-8.16472222222222","firepit",2015-07-05,09:04:00,2015-07-05,"2015-07-05",0,1,0,1,0.006,0,38,52,57,8,52,53,0,24.2,34.4,16.2,43.2
6489,"Entre Douro e Minho","Porto","Amarante","Travanca","41.1580555555556","-8.15722222222222","firepit",2015-07-05,09:49:00,2015-07-05,"2015-07-05",0,1,0,1,0.01,0,41,16,29,8,11,26,0,NA,NA,NA,NA
6490,"Trás-os-Montes","Vila Real","Valpaços","Vassal","41.1591666666667","-7.15972222222222","fire",2015-07-05,10:34:00,2015-07-05,"2015-07-05",0,1,0,1,1,0,41,37,33,7,20,35,0,21.1,30.6,6.3,28.8
6491,"Entre Douro e Minho","Braga","Cabeceiras de Basto","Pedraça","41.1513888888889","-7.16277777777778","firepit",2015-07-05,10:44:00,2015-07-05,"2015-07-05",0,1,0,1,0.01,0,41,30,5,7,56,46,0,21.1,30.6,6.3,28.8
6492,"Beira Litoral","Aveiro","Aveiro","Nossa Senhora de Fátima","40.165","-8.15","firepit",2015-07-05,11:51:00,2015-07-05,"2015-07-05",1,0,0,1,0.0084,1,40,33,54,8,34,0,0,20.7,29.6,10.2,36
6493,"Beira Interior","Castelo Branco","Idanha-a-Nova","Ladoeiro","39.1613888888889","-7.15611111111111","firepit",2015-07-05,11:56:00,2015-07-05,"2015-07-05",0,1,0,1,0.025,1,39,50,41,7,15,22,0,25.5,34.2,10.4,NA
6494,"Entre Douro e Minho","Porto","Vila Nova de Gaia","Olival","41.1625","-8.16388888888889","firepit",2015-07-05,12:02:00,2015-07-05,"2015-07-05",0,1,0,1,0.01,0,41,2,45,8,31,50,0,NA,NA,NA,NA
6495,"Beira Interior","Castelo Branco","Idanha-a-Nova","Idanha-a-Nova","39.1647222222222","-7.15194444444445","fire",2015-07-05,12:54:00,2015-07-05,"2015-07-05",0.258727373476173,0,0.741272626523827,0.258727373476173,21.656,1,39,53,53,7,14,7,0,25.5,34.2,10.4,NA
6496,"Entre Douro e Minho","Porto","Maia","Avioso (São Pedro)","41.1622222222222","-8.16333333333333","firepit",2015-07-05,13:06:00,2015-07-05,"2015-07-05",0.8,0.2,0,1,0.25,0,41,16,44,8,37,48,0,NA,NA,NA,NA
6497,"Entre Douro e Minho","Porto","Penafiel","Boelhe","41.1627777777778","-8.16055555555556","firepit",2015-07-05,13:31:00,2015-07-05,"2015-07-05",0,1,0,1,0.06,0,41,7,46,8,14,38,0,NA,NA,NA,NA
6498,"Beira Litoral","Aveiro","Aveiro","Nossa Senhora de Fátima","40.1638888888889","-8.16027777777778","firepit",2015-07-05,14:29:00,2015-07-05,"2015-07-05",1,0,0,1,0.2834,1,40,33,50,8,33,37,0,20.7,29.6,10.2,36
6499,"Ribatejo e Oeste","Setúbal","Setúbal","São Lourenço","38.1580555555556","-9.15916666666667","fire",2015-07-05,15:00:00,2015-07-05,"2015-07-05",1,0,0,1,8.8838,1,38,32,29,9,2,33,0,20.3,24.7,NA,NA
6500,"Ribatejo e Oeste","Santarém","Santarém","Alcanede","39.1605555555556","-8.16305555555556","fire",2015-07-05,15:03:00,2015-07-05,"2015-07-05",1,0,0,1,1.0076,0,39,21,38,8,46,47,0,25,35.5,14.9,46.8
6501,"Entre Douro e Minho","Porto","Lousada","Lustosa","41.1613888888889","-8.1525","agriculture",2015-07-05,15:27:00,2015-07-05,"2015-07-05",0,0,1,0,0.2,0,41,20,41,8,19,9,0,21.1,30.6,6.3,28.8
6502,"Entre Douro e Minho","Viana do Castelo","Ponte da Barca","Vila Chã (Santiago)","41.1538888888889","-8.15638888888889","fire",2015-07-05,15:38:00,2015-07-05,"2015-07-05",0,1,0,1,1,1,41,48,14,8,19,23,0,NA,NA,NA,NA
6503,"Entre Douro e Minho","Porto","Penafiel","Boelhe","41.1630555555556","-8.16027777777778","firepit",2015-07-05,15:41:00,2015-07-05,"2015-07-05",0,1,0,1,0.03,0,41,7,47,8,14,37,0,NA,NA,NA,NA
6504,"Ribatejo e Oeste","Santarém","Torres Novas","Pedrógão","0.158333333333333","-0.160555555555556","firepit",2015-07-05,15:45:00,2015-07-05,"2015-07-05",0,1,0,1,0.1063,1,0,39,30,0,8,38,0,22.7,24.5,11.7,39.6
6505,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Deocriste","41.1513888888889","-8.15555555555556","firepit",2015-07-05,16:25:00,2015-07-05,"2015-07-05",1,0,0,1,0.03,0,41,41,5,8,42,20,0,NA,NA,NA,NA
6506,"Entre Douro e Minho","Viana do Castelo","Paredes de Coura","Parada","41.1511111111111","-8.165","firepit",2015-07-05,16:29:00,2015-07-05,"2015-07-05",0,1,0,1,0.003,0,41,55,4,8,30,54,0,NA,NA,NA,NA
6507,"Ribatejo e Oeste","Santarém","Cartaxo","Cartaxo","39.1661111111111","-8.15916666666667","agriculture",2015-07-05,16:35:00,2015-07-05,"2015-07-05",0,0,1,0,0.00151,0,39,8,58,8,47,33,0,25,35.5,14.9,46.8
6508,"Entre Douro e Minho","Braga","Vieira do Minho","Guilhofrei","41.1516666666667","-8.1525","fire",2015-07-05,16:43:00,2015-07-05,"2015-07-05",0.103448275862069,0.896551724137931,0,1,29,0,41,34,6,8,8,9,0,NA,NA,NA,NA
6509,"Beira Interior","Guarda","Guarda","Rochoso","0.158055555555556","-0.151666666666667","fire",2015-07-05,16:51:00,2015-07-06,"2015-07-05",0.111111111111111,0.666666666666667,0.222222222222222,0.777777777777778,4.5,0,0,40,29,0,7,6,1,22.7,24.5,11.7,39.6
6510,"Ribatejo e Oeste","Santarém","Tomar","Pedreira","39.1583333333333","-8.15666666666667","agriculture",2015-07-05,17:41:00,2015-07-05,"2015-07-05",0,0,1,0,0.3773,0,39,38,30,8,26,24,0,25,35.5,14.9,46.8
6511,"Entre Douro e Minho","Porto","Penafiel","Canelas","41.1627777777778","-8.16055555555556","agriculture",2015-07-05,17:44:00,2015-07-05,"2015-07-05",0,0,1,0,0.007,0,41,4,46,8,18,38,0,NA,NA,NA,NA
6512,"Trás-os-Montes","Vila Real","Chaves","Outeiro Seco","41.1516666666667","-7.1575","firepit",2015-07-05,19:11:00,2015-07-05,"2015-07-05",0,1,0,1,0.01,0,41,46,6,7,27,27,0,21.1,30.6,6.3,28.8
6513,"Beira Litoral","Aveiro","Mealhada","Pampilhosa","0.155555555555556","-0.156944444444444","agriculture",2015-07-05,19:20:00,2015-07-05,"2015-07-05",0,0,1,0,0.183,0,0,40,20,0,8,25,0,22.7,24.5,11.7,39.6
6514,"Entre Douro e Minho","Porto","Felgueiras","Revinhade","41.1563888888889","-8.1525","firepit",2015-07-05,20:46:00,2015-07-05,"2015-07-05",0,1,0,1,0.03,0,41,20,23,8,16,9,0,NA,NA,NA,NA
6515,"Beira Interior","Castelo Branco","Castelo Branco","Malpica do Tejo","39.1633333333333","-7.15833333333333","firepit",2015-07-05,20:59:00,2015-07-05,"2015-07-05",1,0,0,1,0.0215,1,39,41,48,7,24,30,0,25.5,34.2,10.4,NA
6516,"Entre Douro e Minho","Porto","Vila do Conde","Guilhabreu","41.1505555555556","-8.16611111111111","firepit",2015-07-05,21:20:00,2015-07-05,"2015-07-05",0,1,0,1,0.12,0,41,17,2,8,37,58,0,NA,NA,NA,NA
6517,"Beira Litoral","Aveiro","Aveiro","Nossa Senhora de Fátima","40.1566666666667","-8.15777777777778","firepit",2015-07-05,21:47:00,2015-07-06,"2015-07-05",1,0,0,1,0.0549,0,40,34,24,8,35,28,1,20.7,29.6,10.2,36
6518,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Geraz Lima (Santa Maria)","41.1658333333333","-8.15","firepit",2015-07-05,22:04:00,2015-07-05,"2015-07-05",0,1,0,1,0.01,0,41,41,57,8,41,0,0,21.1,30.6,6.3,28.8
6519,"Entre Douro e Minho","Porto","Penafiel","Rio de Moinhos","41.1602777777778","-8.1575","agriculture",2015-07-05,22:08:00,2015-07-05,"2015-07-05",0,0,1,0,0.1,0,41,6,37,8,16,27,0,NA,NA,NA,NA
6520,"Alentejo","Beja","Beja","Santa Maria da Feira","0.150277777777778","-0.163888888888889","agriculture",2015-07-05,22:14:00,2015-07-05,"2015-07-05",0,0,1,0,0.0456,1,0,38,1,0,7,50,0,22.7,24.5,11.7,39.6
6521,"Ribatejo e Oeste","Santarém","Tomar","Santa Maria dos Olivais","39.1588888888889","-8.15916666666667","agriculture",2015-07-05,23:24:00,2015-07-06,"2015-07-05",0,0,1,0,0.0632,1,39,36,32,8,24,33,1,25,35.5,14.9,46.8
6522,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Soajo","41.1647222222222","-8.16361111111111","firepit",2015-07-05,23:25:00,2015-07-06,"2015-07-05",0,1,0,1,0.03,1,41,52,53,8,12,49,1,NA,NA,NA,NA
6523,"Trás-os-Montes","Vila Real","Valpaços","Fiães","41.1611111111111","-7.15","fire",2015-07-05,23:34:00,2015-07-06,"2015-07-05",0,1,0,1,1.2,0,41,44,40,7,16,0,1,21.1,30.6,6.3,28.8
6524,"Entre Douro e Minho","Vila Real","Mondim de Basto","Mondim de Basto","41.1586111111111","-7.16555555555556","firepit",2015-07-05,23:34:00,2015-07-06,"2015-07-05",1,0,0,1,0.06,1,41,24,31,7,56,56,1,21.1,30.6,6.3,28.8
6525,"Entre Douro e Minho","Porto","Penafiel","Lagares","41.1502777777778","-8.15305555555556","firepit",2015-07-05,23:50:00,2015-07-06,"2015-07-05",0,1,0,1,0.001,0,41,7,1,8,22,11,1,NA,NA,NA,NA
6526,"Ribatejo e Oeste","Lisboa","ODIVELAS","Odivelas_Lumiar e Carnide","38.1633333333333","-9.16083333333333","agric_burn",2015-07-06,01:35:00,2015-07-06,"2015-07-06",0,1,0,1,0.002,0,38,47,48,9,11,39,0,20.1,25,NA,NA
6527,"Alentejo","Beja","Beja","Santa Maria da Feira","0.150277777777778","-0.164166666666667","agriculture",2015-07-06,02:21:00,2015-07-06,"2015-07-06",0,0,1,0,0.222,1,0,38,1,0,7,51,0,22.2,25.1,30.2,57.6
6528,"Trás-os-Montes","Vila Real","Valpaços","Fiães","41.1538888888889","-7.15083333333333","firepit",2015-07-06,02:32:00,2015-07-06,"2015-07-06",0,1,0,1,0.03,0,41,44,14,7,16,3,0,21.1,29.6,5.1,25.2
6529,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Telões","41.1644444444444","-7.15222222222222","firepit",2015-07-06,02:47:00,2015-07-06,"2015-07-06",0,1,0,1,0.5,1,41,27,52,7,40,8,0,21.1,29.6,5.1,25.2
6530,"Entre Douro e Minho","Porto","Penafiel","Valpedre","41.1630555555556","-8.15666666666667","firepit",2015-07-06,03:14:00,2015-07-06,"2015-07-06",1,0,0,1,0.07,0,41,8,47,8,19,24,0,NA,NA,NA,NA
6531,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Telões","41.1505555555556","-7.16305555555556","firepit",2015-07-06,03:45:00,2015-07-06,"2015-07-06",0.5,0.5,0,1,0.01,1,41,27,2,7,41,47,0,21.1,29.6,5.1,25.2
6532,"Ribatejo e Oeste","Santarém","Chamusca","Carregueira","0.156944444444444","-0.156666666666667","firepit",2015-07-06,05:45:00,2015-07-06,"2015-07-06",0,1,0,1,0.1187,1,0,39,25,0,8,24,0,22.2,25.1,30.2,57.6
6533,"Entre Douro e Minho","Porto","Maia","Gueifães","41.1563888888889","-8.16611111111111","firepit",2015-07-06,07:20:00,2015-07-06,"2015-07-06",0,1,0,1,0.01,0,41,13,23,8,35,58,0,NA,NA,NA,NA
6534,"Entre Douro e Minho","Braga","Barcelos","Paradela","41.1566666666667","-8.15277777777778","firepit",2015-07-06,11:47:00,2015-07-06,"2015-07-06",0,1,0,1,0.005,0,41,27,24,8,41,10,0,NA,NA,NA,NA
